Dataset,AUC
phpWfYmlu.csv,0.992736483332914
balloon.csv,0.9996445856019359
1497_wall-robot-navigation.csv,0.9998241536912232
1504_steel-plates-fault.csv,0.9996166939528599
AedesQuinx.csv,0.9101171682098766
1475_first-order-theorem-proving.csv,0.913812498474903
mozilla.csv,0.9819065203029361
space_ga.csv,0.9122719544138597
30_page-blocks.csv,0.9878953447050463
1479_hill-valley.csv,0.5600470957613815
GAMETES_Epistasis_2-Way_20atts_0.4H_EDM-1_1.csv,0.7214322916666667
679_rmftsa_sleepdata.csv,0.7895954521417238
visualizing_soil.csv,1.0
sylva_prior.csv,0.9985140497431588
1538_volcanoes-d1.csv,0.7684572470172337
28_optdigits.csv,0.9986885963564867
2dplanes.csv,0.9781502453392759
1460_banana.csv,0.9583872407048767
pol.csv,0.9989541499330655
phphQEck0.csv,0.9999778689254515
60_waveform-5000.csv,0.9608303435356871
phpmPOD5A.csv,0.8313539192399051
namao.csv,0.9940674740420186
winetype.csv,0.9957249149659864
phpGUrE90.csv,0.9262572318647084
click-prediction.csv,0.6758804104336119
gina_agnostic.csv,0.9802324551039698
kin8nm.csv,0.9243511570197032
312_scene.csv,0.9382977057395662
phpxijhaP.csv,0.9965152962546029
fri_c2_1000_10.csv,0.9538633461047253
abalone.csv,0.8808101748807632
phpMD2hR6.csv,0.9991534782613374
cmc.csv,0.7552334943639292
23_cmc.csv,0.7387644561557605
kdd_JapaneseVowels.csv,0.9992510846076442
294_satellite_image.csv,0.9996091094493542
182_satimage.csv,0.9988350895913921
clean2.csv,1.0
letter-recognition.csv,0.9959408443548592
HTRU.csv,0.9680163468301349
puma8NH.csv,0.9045322613107911
375_JapaneseVowels.csv,0.9992510846076442
40733_yeast.csv,0.8031063648533528
BNG_breast-w.csv,0.9985474786580221
eeg.csv,0.9798011812792715
MagicTelescope.csv,0.9350479642154617
jm1-processed.csv,0.7509318818867922
parity5_plus_5.csv,0.6755786672269496
ailerons.csv,0.9526956223303223
1462_banknote-authentication.csv,0.9997852387429307
1489_phoneme.csv,0.9636541789490665
churn.csv,0.9281521006679948
page-blocks.csv,0.9878953447050463
1540_volcanoes-d3.csv,0.7823244384794538
4538_GesturePhaseSegmentationProcessed.csv,0.8576020934148285
AedesSex.csv,0.9972734182098765
delta_ailerons.csv,0.9791398283517909
wind.csv,0.9326516838626986
44_spambase.csv,0.9900489317590836
cpu_act.csv,0.9784158462462086
1539_volcanoes-d2.csv,0.7858706916086783
fried.csv,0.9770214772600386
file7b5365fa741c.csv,0.8986218294470723
40475_thyroid-allhyper.csv,0.8183877551020409
pendigits.csv,0.9993246609738892
houses.csv,0.9979398609480551
spambase.csv,0.9900489317590836
elevators.csv,0.9102951281785464
phoneme.csv,0.949694406558435
1494_qsar-biodeg.csv,0.9215175789942145
pollen.csv,0.48139313835433245
1496_ringnorm.csv,0.9931171716401009
1535_volcanoes-b5.csv,0.8170109211775879
BNG.csv,0.9985474786580221
1566_hill-valley.csv,0.6250754830917875
occupancy.csv,0.9990262288654379
1466_cardiotocography.csv,1.0
quake.csv,0.5305964992000606
magic.csv,0.9350479642154617
40474_thyroid-allbp.csv,0.8183877551020409
phplE7q6h.csv,0.9837235336538894
1507_twonorm.csv,0.9965152962546029
1043_ada_agnostic.csv,0.8811781855599382
phpwRjVjk.csv,0.9522230093986737
php50jXam.csv,0.9997852387429307
electricity-normalized.csv,0.9655755736547921
file79b563a1a18.csv,0.8584208585778061
1541_volcanoes-d4.csv,0.777614882687769
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1.csv,0.5837673611111112
1526_wall-robot-navigation.csv,1.0
puma32H.csv,0.9423560639617147
ArabicDigit.csv,0.9998028581267219
phpV5QYya.csv,0.9970680529927185
anuranCalls.csv,0.9982097691147465
bank8FM.csv,0.9863151459974475
default_credit_card_clients.csv,0.7666800860685756
file22f0e4a679.csv,0.9992903155366306
1485_madelon.csv,0.7591650230111768
covtype_reduced.csv,0.9010844963391517
